date,course,hole,par,distance,handicap,score,fairway,green,putts,chips,penalties,to_par
10/6/2024,Split Rock Golf Course at Pelham Bay,12,3,,16,3,,hit,2,0,0,0
10/6/2024,Split Rock Golf Course at Pelham Bay,13,5,,12,5,hit,hit,2,0,0,0
10/6/2024,Split Rock Golf Course at Pelham Bay,14,4,,10,5,short,nochance,1,1,0,1
10/6/2024,Split Rock Golf Course at Pelham Bay,15,4,,18,7,right,nochance,2,2,0,3
10/6/2024,Split Rock Golf Course at Pelham Bay,16,3,,14,3,,right,1,1,0,0
10/6/2024,Split Rock Golf Course at Pelham Bay,17,4,,2,7,right,nochance,2,2,0,3
10/6/2024,Split Rock Golf Course at Pelham Bay,18,4,,6,6,left,right,2,2,0,2
9/28/2024,Reston National Golf Course,1,4,,14,5,hit,short,2,1,0,1
9/28/2024,Reston National Golf Course,2,5,,18,7,right,short,2,2,0,2
9/28/2024,Reston National Golf Course,3,3,,16,5,,hit,4,0,0,2
9/28/2024,Reston National Golf Course,4,4,,8,6,left,right,2,1,0,2
9/28/2024,Reston National Golf Course,5,5,,10,7,hit,right,2,2,0,2
9/28/2024,Reston National Golf Course,6,3,,12,4,,short,2,1,0,1
9/28/2024,Reston National Golf Course,7,4,,4,6,right,nochance,2,1,0,2
9/28/2024,Reston National Golf Course,8,4,,2,4,right,nochance,1,0,0,0
9/28/2024,Reston National Golf Course,9,4,,6,6,hit,short,2,2,0,2
9/28/2024,Reston National Golf Course,10,4,,1,7,hit,short,2,3,0,3
9/28/2024,Reston National Golf Course,11,3,,17,3,,right,1,1,0,0
9/28/2024,Reston National Golf Course,12,4,,7,5,hit,short,2,1,0,1
9/28/2024,Reston National Golf Course,13,4,,3,8,short,nochance,2,0,0,4
9/28/2024,Reston National Golf Course,14,4,,11,5,hit,hit,2,1,0,1
9/28/2024,Reston National Golf Course,15,5,,13,7,right,nochance,2,0,0,2
9/28/2024,Reston National Golf Course,16,3,,5,4,,short,2,1,0,1
9/28/2024,Reston National Golf Course,17,4,,9,5,right,nochance,2,0,0,1
9/28/2024,Reston National Golf Course,18,4,,15,7,right,nochance,2,1,0,3
9/26/2024,East Potomac Golf Links - Blue Course,1,4,302,16,6,right,left,2,2,0,2
9/26/2024,East Potomac Golf Links - Blue Course,2,3,167,14,4,,hit,3,0,0,1
9/26/2024,East Potomac Golf Links - Blue Course,3,5,456,10,6,hit,right,2,1,0,1
9/26/2024,East Potomac Golf Links - Blue Course,4,4,354,8,4,hit,hit,2,0,0,0
9/26/2024,East Potomac Golf Links - Blue Course,5,4,389,4,7,right,nochance,2,1,0,3
9/26/2024,East Potomac Golf Links - Blue Course,6,3,162,18,4,,right,2,1,0,1
9/26/2024,East Potomac Golf Links - Blue Course,7,4,419,2,4,hit,short,1,1,0,0
9/26/2024,East Potomac Golf Links - Blue Course,8,5,546,6,6,hit,short,2,2,0,1
9/26/2024,East Potomac Golf Links - Blue Course,9,4,371,12,5,right,short,2,1,0,1
9/4/2024,William J. Devine Golf Course,1,4,,7,5,right,hit,3,0,0,1
9/4/2024,William J. Devine Golf Course,2,4,,13,4,right,right,1,1,0,0
9/4/2024,William J. Devine Golf Course,3,4,,3,6,hit,right,2,2,0,2
9/4/2024,William J. Devine Golf Course,4,3,,15,4,,short,1,2,0,1
9/4/2024,William J. Devine Golf Course,5,4,,9,5,left,right,2,1,0,1
9/4/2024,William J. Devine Golf Course,6,4,,5,4,hit,hit,2,0,0,0
9/4/2024,William J. Devine Golf Course,7,4,,1,5,right,nochance,2,0,0,1
9/4/2024,William J. Devine Golf Course,8,3,,17,3,,left,1,1,0,0
9/4/2024,William J. Devine Golf Course,9,4,,11,4,hit,hit,2,0,0,0
8/30/2024,Robert T. Lynch Municipal Golf Course,1,4,372,12,6,right,right,2,2,0,2
8/30/2024,Robert T. Lynch Municipal Golf Course,2,4,341,10,6,hit,short,2,2,0,2
8/30/2024,Robert T. Lynch Municipal Golf Course,3,3,175,18,3,,short,1,1,0,0
8/30/2024,Robert T. Lynch Municipal Golf Course,4,4,321,16,4,hit,hit,2,0,0,0
8/30/2024,Robert T. Lynch Municipal Golf Course,5,3,208,14,4,,short,2,1,0,1
8/30/2024,Robert T. Lynch Municipal Golf Course,6,5,521,8,8,short,nochance,1,2,0,3
8/30/2024,Robert T. Lynch Municipal Golf Course,7,4,347,4,7,right,right,2,2,0,3
8/30/2024,Robert T. Lynch Municipal Golf Course,8,4,401,2,6,right,right,2,2,0,2
8/30/2024,Robert T. Lynch Municipal Golf Course,9,4,395,6,5,hit,short,3,0,0,1
8/25/2024,Framingham Country Club,1,5,454,17,8,right,left,3,2,0,3
8/25/2024,Framingham Country Club,2,4,335,13,7,short,nochance,2,1,0,3
8/25/2024,Framingham Country Club,3,4,325,5,6,hit,short,2,1,0,2
8/25/2024,Framingham Country Club,4,4,364,1,6,right,short,2,1,0,2
8/25/2024,Framingham Country Club,5,5,500,7,6,hit,left,1,1,0,1
8/25/2024,Framingham Country Club,6,3,200,15,5,,short,2,1,0,2
8/25/2024,Framingham Country Club,7,4,341,9,5,right,short,1,1,0,1
8/25/2024,Framingham Country Club,8,3,162,11,3,,hit,2,0,0,0
8/25/2024,Framingham Country Club,9,4,425,3,6,left,short,2,1,0,2
8/25/2024,Framingham Country Club,10,4,352,6,7,right,right,2,2,0,3
8/25/2024,Framingham Country Club,11,3,178,10,4,,short,2,1,0,1
8/25/2024,Framingham Country Club,12,5,388,18,7,right,short,2,2,0,2
8/25/2024,Framingham Country Club,13,4,341,12,7,hit,short,2,3,0,3
8/25/2024,Framingham Country Club,14,4,373,2,6,right,short,2,1,0,2
8/25/2024,Framingham Country Club,15,4,377,8,5,right,short,2,0,0,1
8/25/2024,Framingham Country Club,16,4,392,4,6,hit,right,2,2,0,2
8/25/2024,Framingham Country Club,17,3,138,16,3,,hit,2,0,0,0
8/25/2024,Framingham Country Club,18,5,501,14,6,right,short,2,1,0,1
8/21/2024,Kebo Valley Club,1,4,,7,5,right,short,2,0,0,1
